Post ID,Project,Platform,Content Pillar,Post Copy,Media File,Post Date,Post Time (PST),Status,Engagement Rate %,Link,Hashtags,Notes
1,AFAQ ESG,X|Instagram,ESG Trends & Insights,"ğŸš¨ New SEC climate disclosure rules: What CFOs need to know by Q2 2026. Thread ğŸ§µ

1/ The SEC just finalized Scope 1 & 2 emissions reporting for large accelerated filers...",image_sec_rules.png,2026-02-10,9:00 AM,Draft,,https://afaq.com/sec-guide,"#ESG #Sustainability #SEC #ClimateDisclosure #CFO",Thread format - 5 tweets total
2,Petdate,Instagram|TikTok,Community Engagement,"Meet Bella & Max who found their best friend through Petdate! ğŸ•â¤ï¸ğŸ•

These two cuties have been inseparable since their first park meetup in Golden Gate Park last month. 

Thanks @bellas_mom for sharing! Want your pup featured? Tag us! ğŸ“¸",carousel_bella_max.jpg,2026-02-10,7:00 PM,Draft,,https://petdate.app/success,"#Petdate #DogFriends #DogPark #SFDogs #PetPlaydate",UGC - get permission signed
3,SacredChain,X|Instagram|TikTok,Teacher Spotlights,"Meet Sheikh Ahmed: 15 years teaching Quranic Arabic, now reaching students worldwide ğŸŒğŸ“š

From a small madrasa in Cairo to teaching 200+ students online, Sheikh Ahmed brings traditional knowledge to the digital age.

""Technology allows me to preserve our traditions while reaching the next generation."" - Sheikh Ahmed

Book a trial class â¬‡ï¸",video_sheikh_interview.mp4,2026-02-11,11:00 AM,Draft,,https://sacredchain.com/teachers/ahmed,"#IslamicEducation #QuranLearning #OnlineQuran #ArabicLearning",Video interview - 90 seconds
4,NikahX,Instagram,Success Stories,"Alhamdulillah! ğŸ’ Fatima & Omar found each other through NikahX and tied the knot last weekend in a beautiful nikkah ceremony.

""We were both looking for someone serious about deen. NikahX's verification process made us feel safe, and the rest is history!"" - Fatima

May Allah bless their union. ğŸ¤²

Are you ready for your success story?",wedding_photo_modest.jpg,2026-02-11,12:00 PM,Draft,,https://nikahx.com/signup,"#MuslimMarriage #NikahX #IslamicWedding #HalalDating #MuslimLove",Couple gave permission - have release form
5,NoorStudio,Instagram|TikTok,Book Previews,"Meet Layla! ğŸŒŸ The brave young inventor in our new STEM series for Muslim kids.

Swipe to see Layla:
â†’ Designing her solar-powered invention
â†’ Teaching at her school science fair  
â†’ Making dua before her big presentation

Your child could be the hero of their own story! Create a personalized book where they save the day ğŸ“šâœ¨

Link in bio to design your book",carousel_layla_character.png,2026-02-12,8:00 PM,Draft,,https://noorstudio.com/create,"#MuslimKids #IslamicBooks #RepresentationMatters #STEMkids #KidsBooks",Carousel - 5 images showing character
6,Mawashi,Instagram|TikTok,Farmer Spotlights,"Meet Ahmed from Central Valley: 3rd generation sheep farmer now selling nationwide on Mawashi ğŸï¸ğŸ‘

""My grandfather started this farm in 1970. Now with Mawashi, I can connect directly with buyers across the country while maintaining our family's commitment to ethical farming.""

Ahmed's specialty: Dorper sheep, grass-fed, perfect for Qurbani.

Browse Ahmed's livestock â¬‡ï¸",video_farm_tour.mp4,2026-02-12,6:00 PM,Draft,,https://mawashi.com/seller/ahmed-farms,"#LivestockFarming #SheepFarming #Mawashi #HalalMeat #QurbaniSheep",Video tour of farm - 60 seconds
7,AFAQ ESG,Instagram,Compliance Tips,"5-step audit trail for Scope 3 emissions tracking ğŸ“Š

Swipe for the complete guide â†’

1ï¸âƒ£ Identify your value chain categories (15 Scope 3 categories)
2ï¸âƒ£ Collect supplier data (surveys + direct engagement)  
3ï¸âƒ£ Calculate using emission factors (EPA database)
4ï¸âƒ£ Document everything (audit-ready records)
5ï¸âƒ£ Set reduction targets (science-based targets initiative)

AFAQ ESG automates steps 2-4 âš¡ 

Save this for your next audit! Want to see it in action? Demo link in bio",carousel_scope3_guide.png,2026-02-13,1:00 PM,Draft,,https://afaq.com/demo,"#ESGReporting #Scope3 #CarbonAccounting #Sustainability #ESGCompliance",Educational carousel - 6 slides
8,Petdate,TikTok,Fun & Trending,"POV: Your dog makes a best friend at the park and now you have to schedule playdates like they're in kindergarten ğŸ˜‚

*shows calendar with ""Max's playdate"" ""Bella's birthday pawty"" ""Group walk""*

Tag a dog parent who gets it ğŸ‘‡",video_pov_calendar.mp4,2026-02-13,8:00 PM,Draft,,"#DogParents #DogPlaydate #DogMom #DogPark #PetHumor",Trending format - use trending audio
9,SacredChain,Instagram,Islamic Education,"Beautiful Names of Allah series: Ar-Rahman (The Most Merciful) ğŸ¤²

Ar-Rahman appears 57 times in the Quran. It emphasizes Allah's mercy to all creation - believer and non-believer, human and animal.

The Prophet ï·º said: ""Allah's mercy encompasses everything."" (Quran 7:156)

How can we embody this attribute?
â€¢ Show kindness to all of Allah's creation
â€¢ Be merciful to those who wrong us
â€¢ Remember Allah's mercy when we make mistakes

Save this series and reflect ğŸ’š",quote_graphic_arrahman.png,2026-02-14,9:00 AM,Draft,,"#99NamesOfAllah #IslamicQuotes #ArRahman #MuslimReminder #QuranVerses",Series - post 1 of 10 Names
10,NikahX,Instagram,Islamic Marriage,"3 Prophetic principles for choosing a spouse ğŸ’š

The Prophet ï·º said a person may be married for four reasons:

ğŸ’° Wealth  
ğŸ‘¨â€ğŸ‘©â€ğŸ‘§â€ğŸ‘¦ Family lineage
ğŸŒŸ Beauty
âœ¨ Deen (religion)

""So marry the one with deen, may your hands be in the dust!"" (Bukhari & Muslim)

This doesn't mean other factors don't matter - but let deen be your foundation.

What does this look like on NikahX?
âœ… Verified prayer habits
âœ… Islamic values in profile
âœ… Intentions stated upfront

Start your search with the right priorities â¬‡ï¸",hadith_graphic.png,2026-02-14,6:00 PM,Draft,,https://nikahx.com/values,"#IslamicMarriage #MuslimMarriage #PropheticGuidance #HalalLove #Deen",Valentine's Day counter-programming
11,NoorStudio,TikTok,Behind-the-Scenes,"From prompt to page: How NoorStudio brings your child's story to life ğŸ¨âœ¨

Step 1: Parents share their child's interests
Step 2: Our AI generates unique characters (that look like YOUR child!)
Step 3: Professional illustrators refine every detail  
Step 4: Story is customized with child's name & family
Step 5: Printed on premium paper & shipped

Every book is one-of-a-kind ğŸ“š

Design yours in bio!",video_process_timelapse.mp4,2026-02-15,7:00 PM,Draft,,https://noorstudio.com/how-it-works,"#BehindTheScenes #AIBooks #ChildrensBooks #BookTok #PersonalizedBooks",Process video - 45 seconds
12,Mawashi,X,Market Insights,"ğŸ‘ Ramadan sheep prices: What to expect in 2026

Quick market analysis ğŸ§µğŸ‘‡

1/ Lamb prices currently $180-220/head (live weight) depending on region. Expect 15-20% increase by Ramadan (March).

2/ Why the spike? Supply chain tightening + increased demand from growing Muslim population + feed costs up 8% YoY.",thread_placeholder.txt,2026-02-16,10:00 AM,Draft,,https://mawashi.com/market-insights,"#LivestockPrices #Qurbani #RamadanPrep #SheepFarming #MarketAnalysis",Thread format - 7 tweets with data
,,,,,,,,,,,,
,,,,,,,,,,,,
INSTRUCTIONS FOR USE:,,,,,,,,,,,,
1. Make a copy of this template for each month,,,,,,,,,,,,
2. Fill in Post Copy column with your captions,,,,,,,,,,,,
3. Add media files to Google Drive and link filenames here,,,,,,,,,,,,
"4. Platform column: use | separator for cross-posting (e.g., X|Instagram)",,,,,,,,,,,,
5. Status options: Draft | Scheduled | Published | Posted,,,,,,,,,,,,
6. Update Engagement Rate % after post is published (from Buffer analytics),,,,,,,,,,,,
7. Use Notes column for reminders or learnings,,,,,,,,,,,,
,,,,,,,,,,,,
CONTENT PILLAR REFERENCE:,,,,,,,,,,,,
,,,,,,,,,,,,
"AFAQ ESG: ESG Trends & Insights | Compliance Tips | Case Studies | Thought Leadership | Community & News",,,,,,,,,,,,
"Petdate: Community Engagement | Local Events | Pet Care Tips | App Features | Fun & Trending",,,,,,,,,,,,
"SacredChain: Teacher Spotlights | Student Testimonials | Islamic Education | Platform Features | Community Building",,,,,,,,,,,,
"NikahX: Success Stories | Islamic Marriage Principles | Diversity & Inclusivity | App Features",,,,,,,,,,,,
"NoorStudio: Book Previews | Parenting Tips | Behind-the-Scenes | Customer Stories | Educational Content",,,,,,,,,,,,
"Mawashi: Market Insights | Farmer Spotlights | Trading Tips | Community & Cultural | Platform Features",,,,,,,,,,,,
